GID,tkw,testw,length,width,Hard,Prot,SDS,tkw_scale
283828,38.3,74.4,7.09,2.76,52,17.7,9,1.620227959
283843,36.5,73.7,6.95,2.79,53,17.5,9,-0.749077442
283844,38.4,74.8,6.99,2.83,58,17.1,9,-1.733723842
190203,48.6,75.3,7.34,2.99,58,14.7,9,-0.010592641
189274,49,77,7.77,2.89,61,14.2,9,0.266339159
189277,49.9,78,7.62,2.91,47,14.1,9,0.389419959
188075,49.7,67.6,8,3.03,64,13.8,9,-2.226047042
375572,59,72.1,7.71,3.195,51,12,9,-0.518300942
374934,47.8,78.1,7.13,3.07,54,16,9.5,-0.179828741
190051,47.03333333,77.2,7.17,2.95,47,15.6,9.5,0.527885859
187675,60.6,76.5,8.01,3.39,55,15.1,9.5,-0.133673441
2437214,54,76.1,7.6,3.28,53,15.1,9.5,-0.395220141
156377,52.6,80.9,7.27,3.17,51,14.2,9.5,-0.502915842
190187,50,75.2,7.25,3.05,52,13.7,9.5,0.081717959
187612,49.7,74.5,7.29,3.09,53,12.1,9.5,-0.779847642
283822,38.8,75.7,6.7,3.01,54,17.2,10,-1.364481442
283774,41.3,76.8,7.08,2.83,50,16.7,10,-1.226015542
187924,41.7,67.4,7.46,2.85,59,15,10,-0.349064841
190783,53,77.9,7.83,3.09,46,15,10,-0.195213841
189792,47,78.5,7.23,3,50,14.4,10,-1.779879142
374551,48.3,79.9,7.04,3.17,54,14,10,0.281724259
190167,51.6,75.8,7.66,3.07,52,13.9,10,0.081717959
375851,49.9,76.2,6.68,3.35,51,14.8,10.5,-0.502915842
374913,47.9,75.8,7.44,3,53,13.9,10.5,-1.302941042
189751,56.95,75.75,7.78,3.425,52,17.4,11,-0.225984041
283914,36.5,68.5,6.91,3.01,49,17,11,-0.595226442
373725,38.5,76.8,6.67,3.07,58,15.7,11,-0.179828741
375895,51,74.3,7.03,3.38,47,15.4,11,2.174091559
187505,56.8,77.8,7.51,3.43,43,15.4,11,-0.733692342
188407,48.8,79.2,6.95,3.16,53,15.2,11,-1.456792042
284327,47.6,76.2,7.64,3,50,15.2,11,-1.333711242
375845,45,74.6,7.43,2.92,56,15,11,0.220183859
374719,50.7,75.8,7.63,2.98,54,14.9,11,-0.379835041
283876,40.8,72.7,6.98,3.14,43,14.8,11,-1.118319842
375941,49.6,73,7.83,2.95,57,14.7,11,-0.533686042
189844,60.05,78.35,7.54,3.475,48,14.5,11,-0.441375442
374151,44.1,73.9,7.39,2.92,59,14.3,11,0.066332859
375976,49.6,75.4,7.6,3.07,50,14.2,11,1.158674959
283444,46.4,76.5,6.81,3.25,46,14,11,-0.087518141
187886,55.2,74.7,7.56,3.3,52,13.5,11,1.281755759
283802,37.7,76.9,6.58,2.95,59,17.4,11.5,0.881743159
190818,49.4,76.4,7.74,3.04,48,16.4,11.5,1.081749459
189859,47.1,76.7,7.54,2.92,51,16.2,11.5,0.574041159
376021,37.7,76.1,6.89,2.75,58,15.9,11.5,0.666351759
376018,45.2,72,6.78,3.24,51,15.7,11.5,1.389451459
284236,53.3,73.8,7.12,3.53,58,15.6,11.5,-0.549071142
188906,54.8,76.2,7.84,3.29,56,15.5,11.5,1.143289859
189712,55,78.55,7.54,3.165,50,15.5,11.5,1.512532259
284189,56.4,80.2,7.59,3.17,53,15.3,11.5,-0.502915842
284203,56.9,76.6,8.14,3.14,52,15.3,11.5,0.235568959
284312,44.8,75.8,7.26,2.95,58,15.2,11.5,1.789464059
189790,43.3,75.8,7.34,2.88,51,15.2,11.5,1.712538559
190802,52.8,78,7.53,3.04,56,15.1,11.5,-0.487530742
374429,50.7,75.05,7.665,3.035,51,15.1,11.5,0.958668659
283553,41.4,77.2,7.02,3.04,42,15.1,11.5,1.050979259
374371,46.2,74.6,7.18,3.03,53,15,11.5,1.127904759
190813,40.3,78.6,5.95,2.94,43,14.7,11.5,0.774047459
2437412,49.2,78.6,6.95,3.34,62,13.4,11.5,-0.379835041
374436,58.3,77.8,7.76,3.275,54,13.4,11.5,-0.672151942
374545,49.2,72.3,7.68,2.98,53,17.9,12,-0.349064841
190071,43.4,72.2,7.59,2.85,50,17.5,12,1.635613059
283121,44.5,74.1,7.42,2.91,58,17.1,12,1.820234259
283819,36.7,75.6,6.73,2.96,58,16.9,12,1.927929959
187804,39.2,70.9,7.68,2.54,64,16.7,12,0.035562659
373835,44.8,74.5,6.68,3.37,49,16.7,12,0.020177559
283772,38.9,72.1,6.89,2.96,46,16.7,12,0.712507059
283938,52.9,75,7.76,3.19,42,16.7,12,-0.595226442
189043,36,71.1,6.82,2.79,50,16.5,12,0.050947759
283813,38.5,75.7,6.95,2.89,53,16.3,12,-0.502915842
187977,43.5,74.2,6.75,3.3,55,16.2,12,0.512500759
375807,55.2,75,7.09,3.58,49,16.2,12,0.004792459
190238,50,73,7.18,3.16,46,16.1,12,0.020177559
188947,38.5,76.2,7.1,2.85,51,16,12,0.343264659
189002,40,76,6.93,2.9,55,15.9,12,2.52794886
375371,35.2,73.4,6.53,2.95,49,15.9,12,-0.395220141
190815,53.3,78.4,7.7,3.08,48,15.9,12,0.143258359
188911,59.9,75.2,8.08,3.39,52,15.8,12,1.758693859
375755,47.8,72.7,6.95,3.38,48,15.8,12,-0.656766842
